Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
12/28/20,176.39,2441975,1.20,0.68,0.68,204.97,147.04,177.11,177.46,174.89,112.59
12/24/20,175.19,1941216,0.28,0.16,0.16,203.57,145.36,175.98,176.51,174.67,111.15
12/23/20,174.91,4752973,2.56,1.49,1.49,203.25,144.96,172.01,176.33,171.89,110.81
12/22/20,172.35,3104018,0.59,0.34,0.34,200.27,141.38,172.40,173.11,171.46,107.73
12/21/20,171.76,4077382,1.34,0.79,0.79,199.59,140.55,169.63,173.06,168.94,107.01
12/18/20,170.42,6715840,-0.82,-0.48,-0.48,198.03,138.68,171.18,172.18,168.97,105.40
12/17/20,171.24,3495251,-0.45,-0.26,-0.26,198.98,139.82,172.00,172.28,170.29,106.39
12/16/20,171.69,2193655,0.28,0.16,0.16,199.50,140.45,172.01,172.99,170.71,106.93
12/15/20,171.41,3490127,0.42,0.25,0.25,199.18,140.06,170.65,172.78,170.65,106.59
12/14/20,170.99,4016391,-0.72,-0.42,-0.42,198.69,139.47,172.96,172.96,170.17,106.09
12/11/20,171.71,2676541,-0.69,-0.40,-0.40,199.53,140.48,171.50,172.75,171.07,106.95
12/10/20,172.40,2643724,-1.67,-0.96,-0.96,200.33,141.45,173.59,174.24,172.07,107.79
12/09/20,174.07,2853776,1.35,0.78,0.78,202.27,143.79,173.35,174.92,172.41,109.80
12/08/20,172.72,2682233,-0.19,-0.11,-0.11,200.70,141.90,172.50,173.78,171.74,108.17
12/07/20,172.91,3430836,-2.12,-1.21,-1.21,200.92,142.16,174.27,174.95,171.41,108.40
12/04/20,175.03,2935688,0.11,0.06,0.06,203.39,145.13,174.38,175.16,173.23,110.96
12/03/20,174.92,4214583,-1.49,-0.84,-0.84,203.26,144.98,176.47,176.47,173.78,110.82
12/02/20,176.41,3109258,-2.64,-1.47,-1.47,204.99,147.06,178.02,178.21,175.47,112.62
12/01/20,179.05,5036483,-0.48,-0.27,-0.27,208.06,150.76,179.81,181.17,177.10,115.80
11/30/20,179.53,8010031,-0.24,-0.13,-0.13,208.62,151.43,178.25,180.07,176.24,116.38
11/27/20,179.77,2371901,-0.05,-0.03,-0.03,208.89,151.77,180.81,181.11,178.95,116.67
11/25/20,179.82,3780713,1.96,1.10,1.10,208.95,151.84,177.73,180.48,177.35,116.73
11/24/20,177.86,4689777,0.30,0.17,0.17,206.67,149.10,179.76,179.84,177.10,114.37
11/23/20,177.56,5760551,5.25,3.05,3.05,206.33,148.68,174.25,179.02,173.59,114.01
11/20/20,172.31,6657666,0.94,0.55,0.55,200.23,141.32,172.22,174.41,171.45,107.68
11/19/20,171.37,6834937,4.52,2.71,2.71,199.13,140.01,168.71,173.44,167.90,106.54
11/18/20,166.85,13092320,3.81,2.34,2.34,193.88,133.68,165.94,172.12,164.55,101.10
11/17/20,163.04,6299877,-2.14,-1.30,-0.88,189.45,128.34,164.00,164.71,160.51,96.50
11/16/20,165.18,5035611,2.30,1.41,1.41,191.14,130.38,165.00,165.99,163.35,99.08
11/13/20,162.88,2769730,3.35,2.10,2.10,188.48,127.17,160.99,163.45,160.60,96.31
11/12/20,159.53,2709061,-0.16,-0.10,-0.10,184.61,122.50,159.67,160.99,158.64,92.27
